metro_area,population,road_length (mi),land_area (sq mi),daily_vmt (mi/day)
"New York--Newark, NY--NJ--CT",18351295,44249,3450,288778000
"Los Angeles--Long Beach--Anaheim, CA",12150996,24934,1736,245216000
"Chicago, IL--IN",8608208,30071,2443,166441000
"Miami, FL",5502379,15688,1239,142662000
"Philadelphia, PA--NJ--DE--MD",5441567,21196,1981,108775000
"Dallas--Fort Worth--Arlington, TX",5121892,24104,1779,154569000
"Houston, TX",4944332,20786,1660,142176000
"Washington, DC--VA--MD",4586770,13550,1322,104833000
"Atlanta, GA",4515419,25388,2645,159660000
"Boston, MA--NH--RI",4181019,17645,1873,104844000
"Detroit, MI",3734090,15414,1337,90024000
"Phoenix--Mesa, AZ",3629114,16095,1147,105364000
"San Francisco--Oakland, CA",3281212,7361,524,57540000
"Seattle, WA",3059393,10845,1010,65910000
"San Diego, CA",2956746,7274,732,67629000
"Minneapolis--St. Paul, MN--WI",2650890,14380,1022,68174000
"Tampa--St. Petersburg, FL",2441770,10554,957,76507000
"Denver--Aurora, CO",2374203,9573,668,59557000
"Baltimore, MD",2203663,7493,717,56069000
"St. Louis, MO--IL",2150706,11114,924,64994000
"San Juan, PR",2148346,8073,867,23741000
"Riverside--San Bernardino, CA",1932666,6169,545,48098000
"Las Vegas--Henderson, NV",1886011,5796,417,45606000
"Portland, OR--WA",1849898,7463,524,37099000
"Cleveland, OH",1780673,7519,772,41206000
"San Antonio, TX",1758210,8371,597,51420000
"Pittsburgh, PA",1733853,9972,905,36252000
"Sacramento, CA",1723634,5909,471,35948000
"San Jose, CA",1664496,3874,286,30240000
"Cincinnati, OH--KY--IN",1624827,7333,788,43604000
"Kansas City, MO--KS",1519417,9400,678,48110000
"Orlando, FL",1510516,6602,598,56618000
"Indianapolis, IN",1487483,7716,706,55072000
"Virginia Beach, VA",1439666,7110,515,36875000
"Milwaukee, WI",1376476,6660,546,33569000
"Columbus, OH",1368035,5927,510,36289000
"Austin, TX",1362416,6970,523,44302000
"Charlotte, NC--SC",1249442,5714,741,42077000
"Providence, RI--MA",1190956,6293,545,25580000
"Jacksonville, FL",1065219,5965,530,39095000
"Memphis, TN--MS--AR",1060061,5463,497,28764000
"Salt Lake City--West Valley City, UT",1021243,3889,278,27015000
"Louisville/Jefferson County, KY--IN",972546,3905,477,21607000
"Nashville-Davidson, TN",969587,7806,563,51520000
"Richmond, VA",953556,4739,492,30689000
"Buffalo, NY",935906,4505,380,21625000
"Hartford, CT",924859,5067,516,24774000
"Bridgeport--Stamford, CT--NY",923311,3861,466,19592000
"New Orleans, LA",899703,3892,251,19539000
"Raleigh, NC",884891,4904,518,30672000
"Oklahoma City, OK",861505,5458,411,24334000
"Tucson, AZ",843168,4399,353,19538000
"El Paso, TX--NM",803086,3653,251,17926000
